"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url","vader","threshold"
"xx17220934","xx1292979399860596747","2020-08-11 00:21:25","algore","Koni was a great father, a great teacher, a great scientist, a great friend, and a truly great man. 2/2","Twitter for iPhone",103,"xx1292979399005024256","xx17220934","algore",FALSE,FALSE,519,45,,,"",,"","","","","","","","","","",,,"","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/algore/status/1292979399860596747","Al Gore","Nashville, TN","","https://t.co/R5WtdSm0cW",FALSE,3057070,40,36459,2846,45,"2008-11-06 22:21:18",TRUE,"https://t.co/R5WtdSm0cW","http://algore.com/",,"https://pbs.twimg.com/profile_banners/17220934/1600194197","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1288163528340320257/ieQgrnv8_normal.jpg",0.981,1
"xx1107483560943013888","xx1223682100035031040","2020-02-01 18:58:42","xiyebastida","I want to immensely thank Life City for inviting me to the Love Your City Awards and having me speak about the youth climate movement!

This is an amazing initiative that awards local companies and businesses that excel in climate justice work! Every city should have these!! <U+2764><U+FE0F><U+0001F343> https://t.co/5FnqvlRvbh","Twitter for iPhone",279,,,"",FALSE,FALSE,146,24,,,"",,"","","","http://pbs.twimg.com/media/EPtkWhLW4AA1Qf3.jpg","https://t.co/5FnqvlRvbh","https://twitter.com/xiyebastida/status/1223682100035031040/photo/1","photo","http://pbs.twimg.com/media/EPtkWhLW4AA1Qf3.jpg http://pbs.twimg.com/media/EPtkWhPXkAg-x0y.jpg http://pbs.twimg.com/media/EPtkWhRX0AgeGAK.jpg","https://t.co/5FnqvlRvbh https://t.co/5FnqvlRvbh https://t.co/5FnqvlRvbh","https://twitter.com/xiyebastida/status/1223682100035031040/photo/1 https://twitter.com/xiyebastida/status/1223682100035031040/photo/1 https://twitter.com/xiyebastida/status/1223682100035031040/photo/1",,,"","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/xiyebastida/status/1223682100035031040","Xiye Bastida","New York, NY | she/her","18 year old Climate Justice Activist. Otomi-Toltec. Co-Founder of @Re_EarthOrg organizer with @fridays4future <U+0001F30E> <U+0001F1F2><U+0001F1FD> @penn","https://t.co/D8JLMUnq3Y",FALSE,17397,471,233,569,2090,"2019-03-18 03:27:11",FALSE,"https://t.co/D8JLMUnq3Y","http://www.reearthin.org",,"https://pbs.twimg.com/profile_banners/1107483560943013888/1567386420","","http://pbs.twimg.com/profile_images/1286369189645520896/zcP5fRKq_normal.jpg",0.979,1
"xx17220934","xx1261055297638084608","2020-05-14 22:06:26","algore","I love this song! Check out and download this brilliantly creative new video from @okgo, and help support a great cause! 100% of profits go to @PIH working to care for the most vulnerable right now. https://t.co/73SQMAllvG","Twitter Web App",222,,,"",FALSE,FALSE,157,36,,,"",,"okgo.net/2020/05/13/allâ€¦","https://t.co/73SQMAllvG","https://okgo.net/2020/05/13/all-together-now/","","","","","","","",,"xx6815302 xx23967554","okgo PIH","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/algore/status/1261055297638084608","Al Gore","Nashville, TN","","https://t.co/R5WtdSm0cW",FALSE,3057070,40,36459,2846,45,"2008-11-06 22:21:18",TRUE,"https://t.co/R5WtdSm0cW","http://algore.com/",,"https://pbs.twimg.com/profile_banners/17220934/1600194197","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1288163528340320257/ieQgrnv8_normal.jpg",0.978,1
"xx214842351","xx1337457820317442048","2020-12-11 18:02:47","PEspinosaC","Congratulations to all the winners of the @UN Global #ClimateAction Awards! 

I am very happy to share these innovative, scalable &amp; practical initiatives from around the world. These awards recognise you as beacons guiding us towards a better future.

https://t.co/CSFBdOtGgL https://t.co/odvzrm51tE","Hootsuite Inc.",279,,,"",FALSE,FALSE,60,13,,,"ClimateAction",,"ow.ly/p5oH50CISRP","https://t.co/CSFBdOtGgL","http://ow.ly/p5oH50CISRP","http://pbs.twimg.com/ext_tw_video_thumb/1337457704927948800/pu/img/u-nLa5lQlSpgLnn9.jpg","https://t.co/odvzrm51tE","https://twitter.com/PEspinosaC/status/1337457820317442048/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1337457704927948800/pu/img/u-nLa5lQlSpgLnn9.jpg","https://t.co/odvzrm51tE","https://twitter.com/PEspinosaC/status/1337457820317442048/video/1",,"xx14159148","UN","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/PEspinosaC/status/1337457820317442048","Patricia Espinosa C.","Bonn, Germany","Executive Secretary of UN Climate Change @UNFCCC (also in Spanish @CMNUCC, French @CCNUCC, Russian @RKIKOON and German @UNKlima)","https://t.co/9bKMFEsilq",FALSE,108140,413,1487,4731,394,"2010-11-12 11:05:35",TRUE,"https://t.co/9bKMFEsilq","http://www.unfccc.int",,"https://pbs.twimg.com/profile_banners/214842351/1583934630","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1164519293456965634/bRcuEcSk_normal.jpg",0.977,1
"xx1004681701644091392","xx1342108251127746561","2020-12-24 14:01:56","JoyceMsuya","Seasonâ€™s greetings!

Wishing safe and happy holidays to you, your families and your friends.

And a very merry Christmas to all of those celebrating around the world. https://t.co/rk3OiW6rOv","Twitter for iPhone",166,,,"",FALSE,FALSE,133,24,,,"",,"","","","http://pbs.twimg.com/media/EqAgVoJXAAE4EW-.jpg","https://t.co/rk3OiW6rOv","https://twitter.com/JoyceMsuya/status/1342108251127746561/photo/1","photo","http://pbs.twimg.com/media/EqAgVoJXAAE4EW-.jpg","https://t.co/rk3OiW6rOv","https://twitter.com/JoyceMsuya/status/1342108251127746561/photo/1",,,"","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JoyceMsuya/status/1342108251127746561","Joyce Msuya","Nairobi, Kenya","Deputy Executive Director of @UNEP
@UN Assistant Secretary-General
Join the conversation for people and planet.","https://t.co/YeeAdllrws",FALSE,21141,963,155,2404,1887,"2018-06-07 11:09:18",TRUE,"https://t.co/YeeAdllrws","http://www.unep.org",,"https://pbs.twimg.com/profile_banners/1004681701644091392/1575387190","","http://pbs.twimg.com/profile_images/1102892459598770176/zPsrT9q-_normal.png",0.974,1
"xx1004681701644091392","xx1349644891362623495","2021-01-14 09:09:51","JoyceMsuya","Celebrating great strides being taken #ForNature.<U+0001F44F>

With additional $14 billion funding, the Great Green Wall Initiative will boost food security, create jobs and be a symbol for peace.
 #OnePlanetSummit #GenerationRestoration
 
https://t.co/NQaWCihyf8","Twitter for iPhone",252,,,"",FALSE,FALSE,6,1,,,"ForNature OnePlanetSummit GenerationRestoration",,"unep.org/news-and-storiâ€¦","https://t.co/NQaWCihyf8","https://www.unep.org/news-and-stories/story/good-news-africas-great-green-wall","","","","","","","",,,"","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JoyceMsuya/status/1349644891362623495","Joyce Msuya","Nairobi, Kenya","Deputy Executive Director of @UNEP
@UN Assistant Secretary-General
Join the conversation for people and planet.","https://t.co/YeeAdllrws",FALSE,21141,963,155,2404,1887,"2018-06-07 11:09:18",TRUE,"https://t.co/YeeAdllrws","http://www.unep.org",,"https://pbs.twimg.com/profile_banners/1004681701644091392/1575387190","","http://pbs.twimg.com/profile_images/1102892459598770176/zPsrT9q-_normal.png",0.971,1
"xx350","xx926935416392925184","2017-11-04 22:13:19","oof","I was born in the new year amp Iâ€™m my best friends and family and I have a great job and Iâ€™m glad to see that it was my best friends.","Twitter for iPhone",133,,,"",FALSE,FALSE,1,0,,,"",,"","","","","","","","","","",,,"","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/oof/status/926935416392925184","oof","iPhone: 37.762386,-122.424505","not very good at Twitter, just been here a while","https://t.co/CRjY6rzRVu",FALSE,9668,548,1039,1998,974,"2006-06-21 21:14:58",FALSE,"https://t.co/CRjY6rzRVu","http://oof.org/",,"https://pbs.twimg.com/profile_banners/350/1400260278","http://abs.twimg.com/images/themes/theme6/bg.gif","http://pbs.twimg.com/profile_images/367425671/foo_normal.jpg",0.971,1
"xx48702842","xx1364462584146120704","2021-02-24 06:30:05","ErikSolheim","Fantastic winter days at #Manshausen, northern Norway <U+0001F1F3><U+0001F1F4>. Nature is magic, architecture inspiring, young hosts most generous, food michelin style and ice bath, yes very cold. Such a wonderful place.  WOW! <U+0001F917> https://t.co/y9cktbKKgN","Hootsuite Inc.",206,,,"",FALSE,FALSE,68,5,,,"Manshausen",,"","","","http://pbs.twimg.com/media/Eu-LfP4WYAEZjpW.jpg","https://t.co/y9cktbKKgN","https://twitter.com/ErikSolheim/status/1364462584146120704/photo/1","photo","http://pbs.twimg.com/media/Eu-LfP4WYAEZjpW.jpg http://pbs.twimg.com/media/Eu-LfRPWYAEeOL2.jpg http://pbs.twimg.com/media/Eu-LfPMXAAMKk0j.jpg http://pbs.twimg.com/media/Eu-LfRGWgAAHcQ_.jpg","https://t.co/y9cktbKKgN https://t.co/y9cktbKKgN https://t.co/y9cktbKKgN https://t.co/y9cktbKKgN","https://twitter.com/ErikSolheim/status/1364462584146120704/photo/1 https://twitter.com/ErikSolheim/status/1364462584146120704/photo/1 https://twitter.com/ErikSolheim/status/1364462584146120704/photo/1 https://twitter.com/ErikSolheim/status/1364462584146120704/photo/1",,,"","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ErikSolheim/status/1364462584146120704","Erik Solheim","Oslo, Norway","GREEN OPTIMISM! Lets share inspiring stories! I work with World Resource Institute, Green Belt & Road, Plastic REVolution, Treelion, April/RGE, NorwegianGreens.","",FALSE,145787,10947,1346,19443,45268,"2009-06-19 13:19:56",TRUE,"","",,"https://pbs.twimg.com/profile_banners/48702842/1570382856","http://abs.twimg.com/images/themes/theme3/bg.gif","http://pbs.twimg.com/profile_images/951336776551030784/o-MTllBS_normal.jpg",0.969,1
"xx818901419201798145","xx828634764194226176","2017-02-06 16:01:37","voice4theplanet","@WoodlandDave Wow - thank you!!! I'm well impressed of your happy wishes on our special day! Thank you SO MUCH!","Twitter Web Client",97,"xx828623290994479105","xx60917553","WoodlandDave",FALSE,FALSE,0,0,,,"",,"","","","","","","","","","",,"xx60917553","WoodlandDave","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/voice4theplanet/status/828634764194226176","Johanna Nilsson","LuleÃ¥, Sverige","Marine biologist. Climate fighter. Voice4theplanet. Blogger. Sami. Mother. Friend. Neighbour.","",FALSE,228,473,10,340,377,"2017-01-10 19:24:47",FALSE,"","",,"https://pbs.twimg.com/profile_banners/818901419201798145/1484087595","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/818943335289225216/e81zBiAe_normal.jpg",0.969,1
"xx1000093259207655425","xx1141775355516264448","2019-06-20 18:30:32","CarbonEngineer","Weâ€™re excited to join the 40 companies launching the Business Coalition for a Clean Economy! We're going to need strong collaboration across industries and sectors if we hope to champion bold #climate action and tackle the climate and energy challenge. Count us in! https://t.co/n09CEcFycA","Twitter Web Client",265,,,"",TRUE,FALSE,26,2,,,"climate",,"twitter.com/Pembina/statusâ€¦","https://t.co/n09CEcFycA","https://twitter.com/Pembina/status/1141755087183724544","","","","","","","",,,"","en","xx1141755087183724544","Today's big announcement... 40 companies ask B.C. premier @jjhorgan to capitalize on clean economic opportunity https://t.co/73RfPKKfJM #CleanBCBiz #bcpoli @Arcteryx
@modo_carcoop @Earnesticecream @PersephoneBeer @CarbonEngineer @NaturesPath @Vancity","2019-06-20 17:10:00","TweetDeck",30,18,"xx24913022","Pembina","Pembina Institute",27211,11652,18177,"Canada","The Pembina Institute is a non-profit think-tank that advocates for strong, effective policies to support Canada's clean energy transition. https://t.co/qWc0SinArv",TRUE,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CarbonEngineer/status/1141775355516264448","Carbon Engineering Ltd.","Squamish, BC, Canada","Working to restore our climate with technology that removes carbon dioxide from the air at megaton-scale.","https://t.co/3kcbKyRkcH",FALSE,6339,286,114,365,336,"2018-05-25 19:16:28",FALSE,"https://t.co/3kcbKyRkcH","http://www.carbonengineering.com",,"https://pbs.twimg.com/profile_banners/1000093259207655425/1608747848","","http://pbs.twimg.com/profile_images/1000152406066282496/US_P-jpG_normal.jpg",0.968,1
